,Video_Title,Published_date,Views,Likes,Comments,Month
331,How to Reverse a Linked List? | Iterative + Recursive | Java Placement Course,11/19/2021,225405,3841,172,Nov
332,5 Top Skills to Learn in College,11/18/2021,8798635,900794,1465,Nov
333,Introduction to Linked List | Data Structures & Algorithms | Java Placement Course,11/17/2021,846883,15954,689,Nov
334,Creating a CRUD App | DOM Manipulation | Javascript | Web Development Course | Part - 2 |,11/16/2021,202554,3419,174,Nov
335,Java Collections Framework | Java Placement Course,11/15/2021,377107,8348,166,Nov
336,GSoC 2022 Announced | Big Changes | NOT JUST FOR STUDENTS | by GSOCER,11/15/2021,134963,8365,304,Nov
337,Competitive Coding vs Development | What to do for Placements ?,11/14/2021,219537,12306,433,Nov
338,How to Make New FRIENDS in College? | 5 Easy Tips,11/13/2021,607764,37075,1214,Nov
339,ArrayList In Java + Notes | Java Placement Course,11/12/2021,392650,8935,267,Nov
340,DOM Manipulation | Javascript | Web Development Course,11/12/2021,213644,4167,193,Nov
341,What is Data Science? | Complete RoadMap | Simply Explained,11/11/2021,2140316,95432,2471,Nov
342,Software Engineers | 3 Things you didn’t know,11/11/2021,3541572,315277,789,Nov
343,"Sorting in Java | Bubble Sort, Selection Sort & Insertion Sort | Java Placement Course",11/10/2021,766216,13852,404,Nov
344,Exercises for Objects | javascript | Web Development Course,11/10/2021,52423,947,53,Nov
345,Why People Quit Coding? 3 Major Reasons,11/8/2021,1389569,71818,2013,Nov
346,What is this keyword? | Javascript | Web Development Course,11/7/2021,65296,1442,89,Nov
347,What is Hoisting? | Javascript | Web Development Course,11/6/2021,72064,1649,85,Nov
348,Java OOPs in One Shot | Object Oriented Programming | Java Language | Placement Course,11/3/2021,2695554,55236,1756,Nov
349,3 Life Saving Websites for Coders!,11/1/2021,335569,21289,415,Nov
350,One Word that can make you Productive | Learn to say **,10/29/2021,387505,39873,313,Oct
351,Web Development Course | Scope in Javascript | In Depth,10/28/2021,97207,2779,131,Oct
352,One Mantra for today’s Digital Age | for students,10/27/2021,3055174,258086,1230,Oct
353,Why is Steve Jobs considered a genius? | 5 Lessons from his Life,10/26/2021,137833,11868,303,Oct
354,Bit Manipulation | Java Placement Course | Lecture 15,10/25/2021,393933,7803,331,Oct
355,Coder with these 3 things will have an Edge! | How to make Coding fun ? | 2021-22,10/23/2021,122630,9033,339,Oct
356,Exercise for array � Lecture 24 � Javascript,10/22/2021,73101,1286,82,Oct
357,NSUT vs DTU vs IIITD vs IGDTUW | JAC Delhi Counselling 2021 | 46 Branches Order,10/21/2021,124325,3999,911,Oct
358,How code gets executed in JavaScript? | Lecture 25,10/21/2021,57270,1436,76,Oct
359,2 Tips for New Coders | Most Frequent Mistakes,10/20/2021,964264,104389,467,Oct
360,Operators & Binary Number System | Java Lecture 14,10/19/2021,428959,8725,419,Oct
361,Remember this in Life - Do this whenever you have to add someone in your Team,10/17/2021,138750,8959,166,Oct
362,QNA - Session for College Students | Year Gap Matters? | ML & AI | Internships etc,10/16/2021,99287,5830,556,Oct
363,Everything about Arrays | Javascript Lecture 23 | Web Development Course,10/15/2021,94505,2469,80,Oct
364,What is a Class? Javascript Lecture 22 | Web Development Course,10/14/2021,75322,1548,60,Oct
365,Most Important Skill of this Decade and How to Master it?,10/13/2021,253522,19774,449,Oct
366,String Builder | Java Placement Course Lecture 13,10/11/2021,509347,10183,578,Oct
367,3 Mistakes You Must Avoid in College ❌,10/10/2021,2469986,222851,1178,Oct
368,Objects Exercise | JavaScript | Lecture 21 | Web Development Course,10/9/2021,66487,1437,78,Oct
369,Strings | Lecture 12 | Java Placement Series,10/8/2021,739041,14093,506,Oct
370,Will Artificial Intelligence & Automation take your Job?,10/7/2021,451616,25132,1616,Oct
371,I Resigned as a Software Engineer from Microsoft,10/2/2021,2643709,137184,4139,Oct
372,College Admission - 5 Important Things you Must Know Before College Admission,10/1/2021,254329,11741,647,Oct
373,2D Arrays | Java Complete Placement Course | Lecture 11,9/30/2021,657702,12842,516,Sep
374,Everything about Objects | Javascript Lecture  - 20 | Web Development Series,9/30/2021,155008,2689,156,Sep
375,Front End vs Back End - Which one is good for you ?,9/28/2021,876336,38193,804,Sep
376,Coercion and Type Conversion | Javascript - Lecture 19 | Web Development Course,9/27/2021,79616,1908,69,Sep
377,Arrays Introduction | Java Complete Placement Course | Lecture 10,9/26/2021,1052027,19787,530,Sep
378,Basics of Time Complexity and Space Complexity | Java | Complete Placement Course | Lecture 9,9/24/2021,736654,15229,375,Sep
379,Exercises using Strings | Javascript Lecture 15 | Web Development Course,9/24/2021,34846,876,91,Sep
380,Which one to Choose - Web Development vs App Development ?,9/23/2021,1765601,80696,2202,Sep
381,Functions in Java | Practice Questions | Complete Placement Course | Lecture 8,9/23/2021,469909,7108,235,Sep
382,Functions & Methods | Java  Complete Placement Course | Lecture 7,9/22/2021,1094059,19670,674,Sep
383,Reference Datatypes in JavaScript | Web Development Course | Javascript Lecture 17,9/22/2021,91834,2053,105,Sep
384,Advanced Pattern Questions | Java | Complete Placement Course - Lecture 6,9/21/2021,848239,14445,766,Sep
385,Javascript : Top 10 Websites to practice | Web Development Course | Lecture 18,9/21/2021,164187,5150,138,Sep
386,9 Best Patterns Questions In Java (for Beginners) | Java Placement Course | Lecture 5,9/20/2021,1674406,29537,1176,Sep
387,"IIT Roorkee College Review 2021 | Admission, Hostel, Placements | In Depth Review",9/20/2021,242934,9632,1001,Sep
388,Loops in Java | Java Placement Full Course | Lecture 4,9/19/2021,1638886,30940,1202,Sep
389,"Conditional Statements | If-else, Switch Break | Complete Java Placement Course | Lecture 3",9/18/2021,1970703,37191,1619,Sep
390,Variables in Java | Input Output | Complete Placement Course | Lecture 2,9/17/2021,3552871,72760,2804,Sep
391,Introduction to Java Language | Lecture 1 | Complete Placement Course,9/16/2021,8941219,223990,4641,Sep
392,QnA Session for College Freshers (new students) and Placements,9/15/2021,172579,10503,748,Sep
393,Recursion One Shot - Advanced Level Questions | Placement (Tech),9/14/2021,239209,4296,228,Sep
394,This 1 thing will decide if we will have a Successful Engineering College Life?,9/13/2021,131777,11993,523,Sep
395,Strings in Javascript | Web Development Course | Lecture 13 & 14,9/13/2021,120246,2670,123,Sep
396,This saved NASA's First Moon Mission,9/12/2021,130694,11235,354,Sep
397,How to do MCA from Top NITs ? | Packages | NIMCET,9/11/2021,575703,26004,1653,Sep
398,College Students Special | 2 Life Lessons College Taught Me,9/10/2021,163403,12885,599,Sep
399,Recursion in One Shot | 9 Best Problems,9/9/2021,601341,10057,492,Sep
400,Basics of Functions in Javascript |  Web Development Course | Javascript - Lecture 12,9/9/2021,148545,3425,124,Sep
401,Top 10 Websites for Jobs | Job Opportunities for students,9/8/2021,136154,6430,339,Sep
402,Loops in Javascript | Web Development Course | Javascript-  Lecture 11,9/8/2021,186072,3700,181,Sep
403,How to get into Stanford with 100% Scholarship ? Complete Podcast | Foreign Admission,9/7/2021,190308,9531,576,Sep
404,How much does College Brand Name matters in Placements and Career ?,9/6/2021,227268,13945,791,Sep
405,5 Github Hacks that you should know | for Coders,9/4/2021,401436,15779,376,Sep
406,Javascript | Lecture 9 & 10 combined | If else and switch statements | Web Development Course,9/3/2021,159709,3486,193,Sep
407,Why my Resume got selected in Google | Microsoft | Amazon | How to make Resume | Software Engineers,9/2/2021,1841607,63814,1579,Sep
408,Recursion in One Shot | Theory + Question Practice + Code | Level 1 - Easy,9/1/2021,781714,14610,670,Sep
409,How much Free Time do we get in Engineering ? For College Freshers,8/30/2021,172850,10699,598,Aug
410,All about BCA | Jobs | Packages | Best Colleges,8/28/2021,1093633,48038,2649,Aug
411,Microsoft Sent me Gifts ❤️ | Unboxing🔥| Laptop | Goodies,8/25/2021,521563,24577,1053,Aug
412,Is BTech worth it in 2021 ? | Or should you choose BCA/BSc ?,8/24/2021,423054,24924,1648,Aug
413,Secret Room Date Reveal - Our Biggest Launch Till Date | Revolution 2.0 | Indian Education,8/23/2021,96368,5740,381,Aug
414,What is Cloud Computing ?,8/21/2021,1259458,46258,1183,Aug
415,How to Score 9+ CGPA in college | Online & Offline Semester,8/20/2021,721664,42830,1332,Aug
416,5 Things you should know before Engineering :),8/19/2021,1182251,58704,1295,Aug
417,Mtech vs MS | What to choose ?,8/17/2021,224888,10323,623,Aug
418,Install VS Code In 2 Minutes | Windows & Mac | English,8/12/2021,915664,18875,734,Aug
419,Biggest Enemy of our Success - How to overcome Fear of losing ?,8/7/2021,65406,5821,502,Aug
420,QnA : Coding ke beginners doubt | Aapne coding kahan se seekhi ?,8/5/2021,229944,13847,739,Aug
421,Job Interviews | Do not do these 7 Major Mistakes in Job Interview,7/31/2021,754768,35024,541,Jul
422,C or C++ | What coding language should you learn ?,7/30/2021,779913,38455,1299,Jul
423,Policy Based Data Structures | C++ Placement Course | Lecture 44,7/26/2021,128642,2351,422,Jul
424,Off Campus Placements | 5 Best Ways to search for Jobs Online,7/25/2021,457355,23550,656,Jul
425,Guide to Interactive Problems | C++ Placement Course | Lecture 43,7/24/2021,21208,537,57,Jul
426,DQueary - SPOJ | C++ Placement Course | Lecture 42.4,7/23/2021,27743,462,49,Jul
427,Tata | TCS Hiring Process | Simply Explained,7/21/2021,1032314,38608,1392,Jul
428,Mo's Algorithm - Square Root Decomposition | Lecture 42.3,7/20/2021,28982,567,42,Jul
429,RMQSQ - Spoj | C++ Placement Course | Lecture 42.2,7/18/2021,17465,379,71,Jul
430,Computer Networking Notes for Tech Placements,7/17/2021,206691,6392,561,Jul
431,Square Root Decomposition - Introduction | C++ Placement Course | Lecture 42.1,7/16/2021,20373,424,35,Jul
432,Late Night Talk - How to get maximum out of your College years?,7/15/2021,198813,14122,668,Jul
433,Operating System Notes for Tech Placements @ApnaCollegeOfficial,7/14/2021,308917,8900,497,Jul
434,Count Inversion - Fenwick Tree | C++ Placement Course | Lecture 41.3,7/14/2021,12273,271,36,Jul
435,Watch this before buying Laptop | Best Budget Laptops and Performance Laptops for all students,7/12/2021,1622475,60452,3788,Jul
436,Point & Range Updates - Fenwick Tree | C++ Placement Course | Lecture 41.2,7/12/2021,11895,257,23,Jul
437,"Javascript | Lecture 6,7 & 8 Combined | Web Development Course",7/11/2021,293785,6055,525,Jul
438,Fenwick Tree - Introduction | C++ Placement Course | Lecture 41.1,7/10/2021,15990,394,34,Jul
439,@ApnaCollegeOfficial Which Coding Platform should I study from?,7/9/2021,1014343,50075,1236,Jul
440,Intersecting Segments - Segment Tree | C++ Placement Course | Lecture 40.13,7/8/2021,9913,266,36,Jul
441,Ways to add JavaScript to Web Pages? JavaScript : Lecture 5 @ApnaCollegeOfficial,7/6/2021,180032,3589,128,Jul
442,Nested Segments - Segment Tree | C++ Placement Course | Lecture 40.12,7/6/2021,11262,277,51,Jul
443,DBMS Notes for College Placements | Data Base Management System |@ApnaCollegeOfficial,7/5/2021,477206,15808,774,Jul
444,Java Tutorial for Beginners | Learn Java in 2 Hours,7/3/2021,4702021,120498,3533,Jul
445,Quick Notes for Placements - Object-Oriented Programming | OOPS | Tech Placements,7/1/2021,307605,8491,424,Jul
446,IIT Kharagpur | College Review | All about IIT Kharagpur,6/30/2021,453555,21574,2119,Jun
447,First Element at Least X - Segment Tree | C++ Placement Course | Lecture 40.9,6/30/2021,12452,341,47,Jun
448,How much Maths is needed as Software Engineers? by @ApnaCollegeOfficial,6/29/2021,318196,19139,729,Jun
449,First Salary best use (Personal Opinion) | What did I do with my first Salary ?@AmanDhattarwal​,6/28/2021,217334,19544,783,Jun
450,Kth One - Segment Tree | C++ Placement Course | Lecture 40.8,6/28/2021,12155,279,36,Jun
451,What is DOM (Document Object Model) ? | Javascript Lecture 4,6/27/2021,293466,6595,191,Jun
452,Windows 11 vs Mac OS | Which one is better for students ? | in Hindi Language,6/26/2021,375079,18010,1263,Jun
453,User Snippets in VSCode | C++ Placement Course | Lecture 40.6,6/26/2021,48554,1217,72,Jun
454,Is English Important for Interviews of Tech Placements ?,6/25/2021,609866,32716,675,Jun
455,How JavaScript Works ? | Javascript - Lecture 3 | Web Development Course,6/24/2021,275303,6108,223,Jun
456,Number of minimums on a segment | C++ Placement Course | Lecture 40.5,6/24/2021,13329,319,61,Jun
457,Javascript - First Program Namaste World | Lecture 2 | Web Development Course,6/23/2021,628099,14541,568,Jun
458,Javascript Introduction | Lecture 1 | Web Development Course,6/22/2021,1256697,36868,902,Jun
459,Maximum and Minimum Queries/Update | C++ Placement Course | Lecture 40.4,6/22/2021,16726,408,38,Jun
460,All about Non-Tech Placements | Top Salaries & How to prepare for Non- Tech,6/21/2021,197507,7985,423,Jun
461,How many Coding Questions should you do to become a Software Engineer | Placements,6/19/2021,184834,10680,395,Jun
462,Query in Segment Tree | C++ Placement Course | Lecture 40.2,6/18/2021,20018,503,52,Jun
463,Placements : How to study in last 45 days |  Step by Step Roadmap,6/17/2021,557318,24185,1486,Jun
464,Segment Tree - Introduction and Build | C++ Placement Course | Lecture 40.1,6/16/2021,39741,878,64,Jun
465,Should I take College Study seriously? Must Watch for college students,6/15/2021,304569,22081,1256,Jun
466,Big Companies vs Startups | Which one should you select?,6/14/2021,150279,9463,474,Jun
467,Rabin Karp - String Algorithms | C++ Placement Course | Lecture 39.4,6/14/2021,44297,683,81,Jun
468,Monthly Expenses of a Software Engineer in Top Indian Cities🔥,6/12/2021,175295,10486,726,Jun
469,KMP Algorithms - String Algorithm | C++ Placement Course | Lecture 39.3,6/12/2021,103206,1693,132,Jun
470,All about Internships | How to get Internship as a Software Engineer | Off-campus/On-campus,6/10/2021,808668,46520,1378,Jun
471,SubStr() Function - String Algorithm | C++ Placement Course | Lecture 39.2,6/10/2021,44105,751,31,Jun
472,DRDO - How I got Internship at DRDO? | Step by step guide,6/8/2021,911458,52687,1888,Jun
473,String Hashing - String Algorithms | C++ Placement Course | Lecture 39.1,6/8/2021,51590,924,50,Jun
474,Detailed Roadmap for Machine Learning | Free Study Resources | Simply Explained,6/7/2021,843971,38774,1106,Jun
475,Bootstrap - Components | Web Development Course | Lecture 17,6/7/2021,101581,2232,209,Jun
476,Sum of First n Fibonacci Numbers - Matrix Exponentiation,6/6/2021,7772,317,25,Jun
477,Should I study Machine Learning? Is it required for Placements?,6/5/2021,418610,21608,1197,Jun
478,"Introduction, Fibonacci in Log(n) - Matrix Exponentiation | C++ Placement Course | Lecture 38.1",6/5/2021,31512,696,36,Jun
479,"All about Hacking | What to study, Packages, Job Opporutnities | Simply Explained",6/3/2021,2561916,131800,3277,Jun
480,Bootstrap - Grid Layout | Web Development Course | Lecture 16,6/3/2021,136799,3065,257,Jun
481,Boring Factorials SPOJ - Number Theory Advanced | C++ Placement Course | Lecture 37.6,6/2/2021,16643,363,46,Jun
482,"How to know if I am made for coding, my placements are coming | What to do ?",6/1/2021,1000905,51790,2019,Jun
483,Fermat Little and Wilson Theorem - Number Theory Advanced | C++ Placement Course | Lecture 37.5,6/1/2021,16071,360,36,Jun
484,Binary Exponentiation - Number Theory Advanced | C++ Placement Course | Lecture 37.4,6/1/2021,16538,382,31,Jun
485,Euler Totient Function - Number Theory Advanced | C++ Placement Course | Lecture 37.3,5/31/2021,16051,366,32,May
486,Multiplicative Modulo Inverse - Number Theory Advanced | Lecture 37.2,5/31/2021,22440,466,17,May
487,All about Blockchain | Simply Explained,5/30/2021,1531792,65527,3297,May
488,Extended Euclid Algorithm - Number Theory Advanced | C++ Placement Course | Lecture 37.1,5/30/2021,25187,588,30,May
489,Digital Dictionary - Tries Challenges | C++ Placement Course | Lecture 36.4,5/30/2021,12311,290,30,May
490,Trie bash - Challenge | C++ Placement Course | Lecture 36.3,5/29/2021,11495,243,33,May
491,XOR SubArray - Tries Challenges | C++ Placement Course | Lecture36.2,5/29/2021,22324,427,58,May
492,Projects you must Add in your Resume for Off-Campus Placements | Software Developers only,5/28/2021,580593,29641,1163,May
493,Tries - Introduction | C++ Placement Course | Lecture 36.1,5/28/2021,35428,706,66,May
494,Friends Paring Problem - Dynamic Programming | C++ Placement Course | Lecture 35.20,5/28/2021,15027,415,29,May
495,Maximum Length of Bitonic Subsequence - Dynamic Programming | C++ Placement Course | Lecture 35.19,5/27/2021,12950,326,30,May
496,Ugly Numbers - Dynamic Programming | C++ Placement Course | Lecture 35.18,5/27/2021,22644,506,35,May
497,Meme - 500K Special Celebration | Not an educational video,5/26/2021,370524,27143,1900,May
498,K-Ordered LCS - Dynamic Programming | C++ Placement Course | Lecture 35.17,5/26/2021,11697,339,20,May
499,LCS with 3 Strings - Dynamic Programming | C++ Placement Course | Lecture 35.16,5/26/2021,14614,401,31,May
500,What is an API ? Simply Explained,5/25/2021,1420257,59846,3143,May
501,0-N Knapsack - Dynamic Programming | C++ Placement Course | Lecture 35.15,5/25/2021,13370,311,23,May
502,Count Number of Binary Strings - Dynamic Programming | C++ Placement Course | Lecture 35.14,5/25/2021,17446,386,18,May
503,Number of Subsequences - Dynamic Programming | C++ Placement Course | Lecture 35.13,5/24/2021,14299,335,35,May
504,Optimal Game Strategy - Dynamic Programming | C++ Placement Course | Lecture 35.12,5/24/2021,21460,558,48,May
505,Must watch - 5 Reasons your Resume will get Rejected,5/23/2021,201756,15627,379,May
506,Minimum Jumps to Reach End - Dynamic Programming | C++ Placement Course | Lecture 35.11,5/23/2021,56436,1000,93,May
507,Matrix Chain Multiplication - Dynamic Programming | C++ Placement Course | Lecture 35.10,5/23/2021,54497,1069,39,May
508,Longest Common Subsequence - Dynamic Programming | C++ Placement Course | Lecture 35.9,5/22/2021,32093,640,49,May
509,Longest Increasing Subsequence - Dynamic Programming | C++ Placement Course | Lecture 35.8,5/22/2021,36583,655,65,May
510,01 Knapsack - Dynamic Programming | C++ Placement Course | Lecture 35.7,5/21/2021,48249,947,30,May
511,Staircase Problem - Dynamic Programming | C++ Placement Course | Lecture 35.6,5/21/2021,16615,401,37,May
512,Kadane Algorithm - Dynamic Programming | C++ Placement Course | Lecture 35.5,5/20/2021,49740,988,104,May
513,Coin Change Problem - Dynamic Programming | C++ Placement Course | Lecture 35.4,5/20/2021,47205,859,116,May
514,Minimum Number of Squares - Dynamic Programming | C++ Placement Course | Lecture 35.3,5/19/2021,32839,656,97,May
515,Fibonacci Sequence - Dynamic Programming | C++ Placement Course | Lecture 35.2,5/19/2021,77206,1407,87,May
516,How I would Code if I can get back in First Year of College? Software Development Placement,5/18/2021,1344813,82055,2545,May
517,Dynamic Programming - Introduction | C++ Placement Course | Lecture 35.1,5/18/2021,89462,2073,72,May
518,Graphs - Surrounded Region | C++ Placement Course | Lecture 34.19,5/18/2021,16637,432,79,May
519,Snakes and Ladders - Graphs | C++ Placement Course | Lecture 34.18,5/17/2021,46148,1014,44,May
520,Floyd Warshall Algorithm | C++ Placement Course | Lecture 34.17,5/17/2021,40789,927,62,May
521,Two skills you must have to be a Great Coder | Aman Dhattarwal,5/16/2021,1072825,87949,538,May
522,Bellman Ford Algorithm | C++ Placement Course | Lecture 34.16,5/16/2021,32728,671,58,May
523,Dijkstra's Algorithm | C++ Placement Course | Lecture 34.15,5/16/2021,75027,1351,101,May
524,What to do in 1st year for Tech Placements? by Aman Dhattarwal,5/15/2021,751782,76166,486,May
525,Prims Algorithm | C++ Placement Course | Lecture 34.14,5/15/2021,56412,963,104,May
526,Kruskal's Algorithm | C++ Placement Course | Lecture 34.13,5/15/2021,61259,1113,72,May
527,Cycle Detection in Undirected Graph using DSU | C++ Placement Course | Lecture 34.12,5/14/2021,15313,324,42,May
528,Cycle Detection in Undirected Graph using DSU | C++ Placement Course | Lecture 34.12,5/14/2021,26539,590,37,May
529,Top 50 Companies with Highest Packages in India | for Software Developers,5/13/2021,762326,34309,1309,May
530,Disjoint Set Union - Graphs | C++ Placement Course | Lecture 34.11,5/13/2021,38036,891,48,May
531,Bipartite Graph - C++ Placement Course | Lecture 34.10,5/13/2021,35499,936,60,May
532,Connected Components | C++ Placement Course | Lecture 34.9,5/12/2021,29848,662,68,May
533,Cycle Detection in Directed Graph | C++ Placement Course | Lecture 34.8,5/12/2021,33061,729,57,May
534,"C++, Java or Python? Which language is best for College Placements in India",5/11/2021,6098414,393083,1991,May
535,Cycle Detection in Undirected Graphs | C++ Placement Course | Lecture 34.7,5/11/2021,36891,735,50,May
536,Graphs - Topological Sort | C++ Placement Course | Lecture 34.6,5/11/2021,54165,1370,76,May
537,DFS - Depth First Search | C++ Placement Course | Lecture 34.5,5/10/2021,63525,888,56,May
538,BFS - Breadth First Search | C++ Placement Course | Lecture 34.4,5/10/2021,86190,1167,66,May
539,Graphs - Representation | C++ Placement Course | Lecture 34.3,5/9/2021,61292,900,99,May
540,Graph Terminologies | C++ Placement Course | Lecture 34.2,5/9/2021,55481,1180,54,May
541,Graphs - Introduction | C++ Placement Course | Lecture 34.1,5/8/2021,103415,1932,82,May
542,Segment with Max Sum | C++ Placement Course | Lecture 40.7,5/8/2021,11004,227,13,May
543,Maximum and Minimum Difference - Greedy Algorithm | C++ Placement Course | Lecture 33.7,5/8/2021,23550,602,43,May
544,Expedi - Greedy Algorithm | C++ Placement Course | Lecture 33.6,5/7/2021,27799,668,57,May
545,Optimal Pattern Merge - Greedy Algorithm | C++ Placement Course | Lecture 33.5,5/7/2021,27221,656,33,May
546,Fractional Knapsack - Greedy Algorithm | C++ Placement Course | Lecture 33.4,5/6/2021,51469,1081,89,May
547,Activity Selection Problem - Greedy Algorithm | C++ Placement Course | Lecture 33.3,5/6/2021,69891,1584,79,May
548,Indian Coin Change - Greedy Algorithm | C++ Placement Course | Lecture 33.2,5/5/2021,47629,1116,116,May
549,Greedy Algorithm - Introduction | C++ Placement Course Lecture 33.1,5/4/2021,77607,1836,52,May
550,Sudoku Solver - Hashing | C++ Placement Course | Lecture 32.8,4/30/2021,47413,1159,122,Apr
551,Hashing - TOP K MOST FREQUENT ELEMENTS | C++ Placement Course | Lecture 32.7,4/29/2021,28113,539,76,Apr
552,Perks of a Solopreneur in 1 Minute,4/29/2021,217732,19103,284,Apr
553,Hashing - Sliding Window Technique | C++ Placement Course,4/28/2021,43386,924,72,Apr
554,Perks of a Software Engineer in 1 Minute,4/27/2021,1204483,83368,919,Apr
555,Hashing - Number of Subarrays with Sum Zero | C++ Placement Course | Lec 32.5,4/26/2021,50269,910,123,Apr
556,Hashing - Vertical Order Print | C++ Placement Course | Lecture 32.4,4/24/2021,41861,890,64,Apr
557,Hashing - Count frequency of elements | C++ Placement Course | Lecture 32.3,4/24/2021,75128,1076,115,Apr
558,Hashing STL - C++ Placement Course | Lecture 32.2,4/23/2021,56129,976,53,Apr
559,College students during Practicals | Not an educational video,4/22/2021,108886,9138,301,Apr
560,Hashing - Introduction to Hasing | C++ Placement Coure | Lecture 32.1,4/21/2021,157487,2746,137,Apr
561,Heap -Smallest Sequence with sum K | C++ Placement Course | Lecture 31.6,4/20/2021,19162,482,77,Apr
562,Heaps - Merge K sorted Arrays | C++ Placement Course,4/18/2021,51834,1007,161,Apr
563,Heaps - Median of Running Stream | C++ Placement Course | Lecture 31.4,4/17/2021,35771,847,77,Apr
564,Heap STL | C++ Placement Course | Lecture 31.3,4/16/2021,44468,974,61,Apr
565,HeapsSort | C++ Placement Course | Lecture 31.2,4/14/2021,92394,1464,238,Apr
566,Heap Intro Final Export for Upload,4/13/2021,67027,1377,70,Apr
567,Perfect Numbers in Subarrays | C++ Placement Course | Lecture 30.5,4/13/2021,18514,536,62,Apr
568,Subarray with Palindromic Concatenation | C++ Placement Course | Lecture 30.4,4/12/2021,18331,533,70,Apr
569,Form Number Divisible by 3 | Sliding Window Challenge | C++ Placement Course | Lecture 30.3,4/12/2021,19411,554,45,Apr
570,Minimum Subarray Size | Sliding Window Challenge | C++ Placement Course | Lecture 30.2,4/11/2021,29623,800,64,Apr
571,Max Sum Subarray | Sliding Window Challenge | C++ Placement Course | Lecture 30.1,4/11/2021,26402,726,52,Apr
572,Find the Peak Element | C++ Placement Course | Lecture 29.5,4/10/2021,43433,1004,83,Apr
573,Search in Sorted & Rotated Array | C++ Placement Course | Lecture 29.4,4/10/2021,32034,826,45,Apr
574,Painters Partition Problem | C++ Placement Course | Lecture 29.3,4/9/2021,34925,828,76,Apr
575,Page Allocation Problem | C++ Placement Course | Lecture 29.2,4/9/2021,33021,746,66,Apr
576,Customization & Layout in Bootstrap | Web Development Course  | Lecture 15,4/8/2021,186337,3916,660,Apr
577,Place Elements to Maximise Minimum Distance | C++ Placement Course | Lecture 29.1,4/8/2021,36797,796,110,Apr
578,Set & Multiset | Standard Template Library | C++ Placement Course | Lecture 28.12,4/8/2021,63105,1469,63,Apr
579,Recover Binary Search Tree | C++ Placement Course | Lecture 28.11,4/7/2021,32292,862,67,Apr
580,Largest Binary Search Tree in BT | C++ Placement Course | Lecture 28.10,4/7/2021,35327,1029,124,Apr
581,Identical Binary Search Tree | C++ Placement Course | Lecture 28.8,4/6/2021,26070,826,49,Apr
582,Zig Zag Traversal Binary Search Tree | C++ Placement Course | Lecture 28.7,4/5/2021,39901,1047,49,Apr
583,Catalan Numbers Application | C++ Placement Course | Lecture 28.6,4/5/2021,45787,1271,85,Apr
584,Build Balanced BST from Sorted Array | C++ Placement Course | Lecture 28.5,4/4/2021,48224,1330,51,Apr
585,Check for Binary Search Tree | C++ Placement Course | Lecture 28.4,4/4/2021,50927,1418,112,Apr
586,Namaste World in Bootstrap | Web Development Course,4/3/2021,375156,8857,269,Apr
587,Construct Binary Search Tree from Preorder | C++ Placement Course | Lecture 28.3,4/3/2021,49415,1164,112,Apr
588,Search and Delete in Binary Search Tree | C++ Placement Course | Lecture 28.2,4/3/2021,109620,2500,154,Apr
589,Updating Design of Mega Project | Web Development Course,4/2/2021,215158,3887,158,Apr
590,Binary Search Trees | Introduction & Build | C++ Placement Course | Lecture 28.1,4/2/2021,118515,2597,109,Apr
591,Max Sum Path from One Node to Another in Binary Tree | C++ Placement Course | Lecture 27.16,4/2/2021,39624,998,108,Apr
592,Lowest Common Ancestor in Binary Tree | C++ Placement Course | Lecture 27.15,4/1/2021,56228,1455,104,Apr
593,Nodes at Distance K in Binary Tree | C++ Placement Course | Lecture 27.14,4/1/2021,56948,1317,96,Apr
594,Flatten a Binary Tree | C++ Placement Course | Lecture 27.13,3/31/2021,51610,1319,102,Mar
595,Shortest Distance between 2 Nodes | C++ Placement Course | Lecture 27.12,3/31/2021,68979,1438,109,Mar
596,Left View of Binary Trees | C++ Placement Course | Lecture 27.11,3/30/2021,48900,1229,55,Mar
597,Right View of Binary Tree | C++ Placement Course | Lecture  27.10,3/30/2021,58041,1444,70,Mar
598,Height Balanced Binary Tree | C++ Placement Course | Lecture 27.9,3/29/2021,78897,1868,91,Mar
599,Sum Replacement in Binary Tree | C++ Placement Course | Lecture 27.8,3/29/2021,51787,1257,63,Mar
600,Height and Diameter in Binary Tree | C++ Placement Course | Lecture 27.7,3/28/2021,84385,1745,154,Mar
601,Count and Sum of Nodes | C++ Placement Course | Lecture 27.6,3/28/2021,58495,1430,54,Mar
602,Adding CSS to Mega Project,3/27/2021,199649,3584,125,Mar
603,"Level Order Traversal , Sum at Kth Level In Binary Tree | C++ Placement Course | Lecture 27.5",3/27/2021,100582,2220,106,Mar
604,Build Tree Postorder and Inorder | C++ Placement Course | Lecture 27.4,3/27/2021,72421,1653,118,Mar
605,Build Tree from Preorder and Inorder | C++ Placement Course | Lecture 27.3,3/26/2021,146342,2759,154,Mar
606,"Binary Tree Traversals| Preorder, Inorder, Postorder Traversal | C++ Placement Course | Lecture 27.2",3/26/2021,166309,3648,138,Mar
607,How to Write a Proposal for Google Summer of Code | GSOC 2021,3/25/2021,28432,1226,75,Mar
608,Binary Tree Introduction | C++ Placement Course | Lecture 27.1,3/25/2021,200765,3866,141,Mar
609,Longest substring without repeating characters | C++ Placement Course | Lecture 26.3,3/25/2021,81433,1435,97,Mar
